PlayerID,Player,Squad,League,Pos
3762,Karim Onisiwo,Mainz 05,Bundesliga,"MF,FW"
3764,Kingsley Coman,Bayern Munich,Bundesliga,FW
3771,Lukáš Hrádecký,Leverkusen,Bundesliga,GK
3777,Marius Wolf,Augsburg,Bundesliga,DF
3786,Michael Gregoritsch,Freiburg,Bundesliga,FW
3792,Miloš Veljković,Werder Bremen,Bundesliga,DF
3796,Nico Elvedi,Gladbach,Bundesliga,DF
3802,Pascal Stenzel,Stuttgart,Bundesliga,DF
3806,Pavel Kadeřábek,Hoffenheim,Bundesliga,DF
3822,Suat Serdar,Hellas Verona,Serie A,MF
3830,Ulisses Garcia,Marseille,Ligue 1,DF
3831,Waldemar Anton,Dortmund,Bundesliga,DF
3836,Ørjan Nyland,Sevilla,La Liga,GK
3841,Alexander Isak,Newcastle Utd,Premier League,FW
3845,Ante Rebić,Lecce,Serie A,"FW,MF"
3846,Anthony Jung,Werder Bremen,Bundesliga,DF
3847,Arne Maier,Augsburg,Bundesliga,MF
3851,Aymen Barkok,Mainz 05,Bundesliga,MF
3858,Bernardo,Bochum,Bundesliga,DF
3863,Borja Mayoral,Getafe,La Liga,FW
3864,Breel Embolo,Monaco,Ligue 1,"FW,MF"
3869,Dayot Upamecano,Bayern Munich,Bundesliga,DF
3889,Florian Müller,Freiburg,Bundesliga,GK
3892,Gerrit Holtmann,Bochum,Bundesliga,"DF,FW"
3895,Gregor Kobel,Dortmund,Bundesliga,GK
3899,Hauke Wahl,St Pauli,Bundesliga,DF
3903,Jacob Bruun Larsen,Hoffenheim,Bundesliga,"FW,MF"
3904,Jean-Philippe Gbamin,Nantes,Ligue 1,MF
3905,Jesús Vallejo,Real Madrid,La Liga,DF
3906,Joel Pohjanpalo,Venezia,Serie A,FW
3907,Johannes Eggestein,St Pauli,Bundesliga,FW
3909,Jonas Föhrenbach,Heidenheim,Bundesliga,DF
3913,Josip Brekalo,Fiorentina,Serie A,"FW,MF"
3919,Kai Havertz,Arsenal,Premier League,"FW,MF"
3921,Kevin Danso,Lens,Ligue 1,DF
3924,Leon Bailey,Aston Villa,Premier League,"FW,MF"
3927,Lukas Klostermann,RB Leipzig,Bundesliga,DF
3928,Lukas Kübler,Freiburg,Bundesliga,DF
3930,László Bénes,Union Berlin,Bundesliga,"MF,FW"
3931,Marc Bartra,Betis,La Liga,DF
3933,Marcel Sabitzer,Dortmund,Bundesliga,MF
3935,Marco Friedl,Werder Bremen,Bundesliga,DF
3937,Marius Müller,Wolfsburg,Bundesliga,GK
3946,Mikel Merino,Arsenal,Premier League,"MF,FW"
3948,Nabil Bentaleb,Lille,Ligue 1,MF
3952,Niklas Schmidt,Toulouse,Ligue 1,MF
3955,Oliver Burke,Werder Bremen,Bundesliga,FW
3956,Omar Mascarell,Mallorca,La Liga,MF
3957,Ondrej Duda,Hellas Verona,Serie A,MF
3960,Ousmane Dembélé,Paris S-G,Ligue 1,FW
3967,Péter Gulácsi,RB Leipzig,Bundesliga,GK
3970,Raphaël Guerreiro,Bayern Munich,Bundesliga,"DF,MF"
3976,Salih Özcan,Dortmund,Bundesliga,MF
3977,Serge Gnabry,Bayern Munich,Bundesliga,"FW,MF"
3978,Serhou Guirassy,Dortmund,Bundesliga,FW
3981,Stefan Posch,Atalanta,Serie A,DF
3990,Vincent Sierro,Toulouse,Ligue 1,MF
3992,Weston Mckennie,Juventus,Serie A,"MF,DF"
3994,Yussuf Poulsen,RB Leipzig,Bundesliga,"FW,MF"
3999,Ademola Lookman,Atalanta,Serie A,"MF,FW"
4001,Alexander Meyer,Dortmund,Bundesliga,GK
4002,Amine Harit,Marseille,Ligue 1,MF
4008,Benjamin Pavard,Inter,Serie A,DF
4016,Chris Führich,Stuttgart,Bundesliga,"MF,FW"
4017,Christian Früchtl,Lecce,Serie A,GK
4018,Corentin Tolisso,Lyon,Ligue 1,MF
4019,Daichi Kamada,Crystal Palace,Premier League,MF
4020,Dan-Axel Zagadou,Stuttgart,Bundesliga,"DF,MF"
4021,Denis Zakaria,Monaco,Ligue 1,MF
4022,Dennis Geiger,Hoffenheim,Bundesliga,"MF,FW"
4027,Elvis Rexhbeçaj,Augsburg,Bundesliga,MF
4030,Finn Dahmen,Augsburg,Bundesliga,GK
4034,Ibrahima Konaté,Liverpool,Premier League,DF
4036,Ihlas Bebou,Hoffenheim,Bundesliga,MF
4038,Jadon Sancho,Chelsea,Premier League,FW
4039,James Rodríguez,Rayo Vallecano,La Liga,"MF,FW"
4040,Jann-Fiete Arp,Holstein Kiel,Bundesliga,"FW,MF"
4051,Josha Vagnoman,Stuttgart,Bundesliga,"DF,MF"
4060,Kevin Akpoguma,Hoffenheim,Bundesliga,DF
4062,Konrad Laimer,Bayern Munich,Bundesliga,DF
4069,Lucas Höler,Freiburg,Bundesliga,"FW,MF"
4071,Luka Jović,Milan,Serie A,"FW,MF"
4073,Manuel Akanji,Manchester City,Premier League,DF
4076,Marco Richter,Mainz 05,Bundesliga,"FW,MF"
4083,Michy Batshuayi,Eint Frankfurt,Bundesliga,FW
4087,Moritz Nicolas,Gladbach,Bundesliga,GK
4090,Niklas Dorsch,Augsburg,Bundesliga,MF
4091,Niklas Lomb,Leverkusen,Bundesliga,GK
4092,Nikolas Nartey,Stuttgart,Bundesliga,MF
4095,Orel Mangala,Everton,Premier League,MF
4099,Paul Jaeckel,Union Berlin,Bundesliga,DF
4100,Philipp Lienhart,Freiburg,Bundesliga,DF
4104,Ridle Baku,RB Leipzig,Bundesliga,"DF,MF"
4106,Robin Hack,Gladbach,Bundesliga,"FW,MF"
4107,Robin Koch,Eint Frankfurt,Bundesliga,DF
4116,Sergio Gómez,Real Sociedad,La Liga,"MF,DF"
4120,Sébastien Haller,Dortmund,Bundesliga,FW
4121,Takuma Asano,Mallorca,La Liga,"FW,MF"
4125,Tim Kleindienst,Gladbach,Bundesliga,FW
4128,Valentino Lazaro,Torino,Serie A,"DF,FW"
4132,Yann Aurel Bisseck,Inter,Serie A,DF
4136,Aarón Martín,Genoa,Serie A,DF
4138,Achraf Hakimi,Paris S-G,Ligue 1,DF
4142,Alassane Pléa,Gladbach,Bundesliga,"MF,FW"
4146,Alphonso Davies,Bayern Munich,Bundesliga,DF
4147,Amadou Haidara,RB Leipzig,Bundesliga,MF
4148,Amos Pieper,Werder Bremen,Bundesliga,DF
4151,Axel Witsel,Atlético Madrid,La Liga,DF
4156,Borna Sosa,Torino,Serie A,DF
4159,Christoph Baumgartner,RB Leipzig,Bundesliga,MF
